Country,Political Side,Distance
Chile,Left,-0.28727006067540994
Chile,Left,-0.28727006067540994
Chile,Left,-0.24135938071523555
Chile,Left,-0.24135938071523555
Chile,Left,-0.24135938071523555
Chile,Left,-0.24135938071523555
Chile,Left,-0.24135938071523555
Chile,Left,-0.16621517810614309
Chile,Left,-0.16621517810614309
Chile,Left,0.013516989725215606
Chile,Left,0.013516989725215606
Chile,Left,0.03349299383920305
Chile,Left,-0.21491393200621228
Chile,Left,-0.19815687320910919
Chile,Left,-0.19815687320910919
Chile,Left,-0.19815687320910919
Chile,Left,-0.19815687320910919
Chile,Left,-0.19815687320910919
Chile,Left,-0.19815687320910919
Chile,Left,-0.2546459877595566
Chile,Left,-0.2546459877595566
Chile,Left,-0.2546459877595566
Chile,Left,-0.1414453692469303
Chile,Left,0.0991110711674049
Chile,Left,-0.026140972849817805
Chile,Left,-0.026140972849817805
Chile,Left,-0.026140972849817805
Chile,Left,-0.026140972849817805
Chile,Left,-0.026140972849817805
Chile,Left,-0.026140972849817805
Chile,Left,-0.026140972849817805
Chile,Left,-0.026140972849817805
Chile,Left,-0.05918584809600704
Chile,Left,-0.05918584809600704
Chile,Left,-0.05918584809600704
Chile,Left,-0.05918584809600704
Chile,Left,-0.05918584809600704
Chile,Left,-0.05918584809600704
Chile,Left,-0.05918584809600704
Chile,Left,-0.05918584809600704
Chile,Left,-0.05918584809600704
Chile,Left,-0.05918584809600704
Chile,Left,-0.05918584809600704
Chile,Left,-0.28375535519229306
Chile,Left,-0.28375535519229306
Chile,Left,-0.28375535519229306
Chile,Left,-0.28375535519229306
Chile,Left,-0.28375535519229306
Chile,Left,-0.28375535519229306
Chile,Left,-0.1525815844943686
Chile,Left,-0.15242876187461296
Chile,Left,-0.15242876187461296
Chile,Left,-0.15242876187461296
Chile,Left,-0.15242876187461296
Chile,Left,-0.15242876187461296
Chile,Left,-0.16767073007268662
Chile,Left,-0.16767073007268662
Chile,Left,-0.2730400602885035
Chile,Left,-0.2730400602885035
Chile,Left,-0.06797100300123858
Chile,Left,-0.06797100300123858
Chile,Left,-0.20219129738158134
Chile,Left,-0.20219129738158134
Chile,Left,-0.20219129738158134
Chile,Left,-0.20219129738158134
Chile,Left,0.06761478410698037
Chile,Left,-0.13733772235213537
Chile,Left,-0.09858884420555226
Chile,Left,-0.23620074977777034
Chile,Left,-0.22020547762097067
Chile,Left,-0.22020547762097067
Chile,Left,-0.2786761137751805
Chile,Left,-0.22920818230389772
Chile,Left,-0.09086421824863349
Chile,Left,-0.2902143924074442
Chile,Left,-0.2902143924074442
Chile,Left,-0.08368910777685781
Chile,Left,-0.19796977160027396
Chile,Left,-0.2173166672744156
Chile,Left,-0.18260424063056424
Chile,Left,-0.21201676192510366
Chile,Left,-0.053050905223764
Chile,Left,-0.21196964977053329
Chile,Left,-0.23560148432208883
Chile,Left,0.06777814601250834
Chile,Left,0.10477413931517861
Chile,Left,0.3054456067004949
Chile,Left,-0.30176724070006755
Chile,Left,-0.03683861328451142
Chile,Left,-0.2926834290836858
Chile,Left,-0.2832235235004159
Chile,Left,-0.16634364609149171
Chile,Left,-0.09157533877495502
Chile,Left,-0.26834510928551636
Chile,Left,-0.13845413602147738
Chile,Left,-0.3010314987040731
Chile,Left,0.3931575892394273
Chile,Left,-0.11875334958719125
Chile,Left,-0.13469682527275836
Chile,Left,-0.13314543654068967
Chile,Left,0.009237664347644906
Chile,Left,-0.2389179748231931
Chile,Left,0.007799160177631539
Chile,Left,-0.11995350596872158
Chile,Left,-0.2962351822627471
Chile,Left,-0.04826816535642956
Chile,Left,-0.21839459965151173
Chile,Left,-0.14955449450151176
Chile,Left,-0.2573758687761553
Chile,Left,0.21179984112470765
Chile,Left,0.09184666523662235
Chile,Left,-0.07898527160779303
Chile,Left,0.1671145510472575
Chile,Left,-0.10185287807887637
Chile,Left,0.021284954650438597
Chile,Left,-0.10058789666246835
Chile,Left,0.2596052909471502
Chile,Left,-0.13411169577463355
Chile,Left,-0.24026154096182653
Chile,Left,0.020706210206868438
Chile,Left,-0.2910651191399851
Chile,Left,-0.321335253810235
Chile,Left,-0.24718487130045996
Chile,Left,0.1388445845607446
Chile,Left,-0.09673319724532138
Chile,Left,-0.18968324769729059
Chile,Left,-0.04822406234958164
Chile,Left,-0.1882931199452299
Chile,Left,0.18767230462335283
Chile,Left,-0.29994008323953003
Chile,Left,-0.1995184616582804
Chile,Left,-0.09581090928877356
Chile,Left,-0.10773754945446726
Chile,Left,-0.15207801267536097
Chile,Left,0.09050919749360832
Chile,Left,0.027958567426955672
Chile,Left,-0.0864263120396648
Chile,Left,-0.17777436022514842
Chile,Left,-0.23399040815880204
Chile,Left,-0.29717702325392137
Chile,Left,-0.29717702325392137
Chile,Left,-0.11029473138899541
Chile,Left,-0.22335785079945603
Chile,Left,-0.1818946065864944
Chile,Left,-0.06255249389917139
Chile,Left,-0.2906370468591415
Chile,Left,-0.20631073458271304
Chile,Left,-0.13342497704887046
Chile,Left,0.03282549890649952
Chile,Left,0.20251434881477692
Chile,Left,0.02620554517577049
Chile,Left,-0.2625976236255455
Chile,Left,-0.03805492925177005
Chile,Left,0.05308793432894265
