uuid,z1,z2
0183e067-21af-49e5-9ae8-b4f7fc1b5a67,0.6730378,0.47320488
01861a6b-8ced-4d8a-82aa-f12cc9783dd9,0.6132624,0.48513424
01874b10-4007-4f53-82c6-21d3462d2aaf,0.78405017,0.5383299
01888e0c-86b1-4ddc-a6a5-984e3db121b7,0.7726827,0.7203846
018b15ff-3885-4519-9fa8-9460114bb96a,0.7863531,0.53058684
018d255e-9c4d-4c77-8a38-9803d750e3a3,0.8585288,0.66488665
018d358d-311b-4ba7-b5ed-e0c342b8af82,0.8348551,0.5659969
018ebedb-3d2e-46f8-b1d6-ed6024565506,0.68541765,0.5658232
018f724a-f8c9-47a2-b213-2cb6f1710a35,0.74311537,0.17143391
018fc000-ab68-416e-9256-5f4695d16a8b,0.75137144,0.23714043
01900deb-348f-4cdb-805e-e62271bc1a7d,0.5564139,0.26940984
0191848b-9ffb-4962-a11a-332fb1a8a767,0.562952,0.30592614
01923a9d-e01c-4760-bf4e-cc52f79d3ea9,0.8137849,0.72243243
0192d4a1-c270-4f87-b46e-11e4500a9f99,0.5554272,0.1588623
01937f3c-692e-401a-a9fd-4c0d29997390,0.8102905,0.7100456
019674fe-fffc-44aa-8b31-c7ead62a2718,0.31545588,0.4699662
0196abaf-366b-4843-98be-add983e0efb7,0.18159632,0.4496626
01971699-903f-4acf-a3c7-297c94768866,0.8174785,0.50545174
019860bc-f14d-4fef-ba13-664bb1289d1d,0.58286446,0.114165485
019a4e48-e668-494d-bc9e-4a30b99e483e,0.4595691,0.23710567
019a6cfb-d620-4d7a-9ae9-0cb393a369ab,0.6815248,0.6074141
019cfa66-b73c-43d9-8786-c9b2ccdc6a9a,0.87871736,0.6461264
019e83e0-9da3-49cb-a452-c0b8b3d92e0e,0.78099775,0.62066203
019f325b-5335-482d-9e42-e138e13f6529,0.86906177,0.6803691
019f70f8-e777-4f76-a6b2-bd59613d34f1,0.5879305,0.4568158
019fe793-98f2-43a7-bee6-d4ac58dea7bd,0.79714966,0.45947793
01a124d2-1dc8-4038-93e8-1a1a109e831f,0.784893,0.48352176
01a346cb-100d-4df7-af95-8c4978ff99bf,0.70110524,0.6078452
01a3c627-a49a-42f4-bc10-9fcbc1432c1f,0.7258524,0.65916497
01a3e1d7-306b-4576-a21e-197d0a6501fe,0.7622745,0.6940632
01a52c44-257a-48a2-9309-146623984416,0.7614804,0.32221645
01a5c7f1-6b4f-4401-92d5-4f1716bb2c4a,0.46715602,0.54783857
01a85fdc-9cb9-4360-9b47-1b5e931f6e4a,0.8354443,0.54418826
01aa8f79-8d44-4633-afa3-dcef7405225e,0.68995696,0.5808415
01aaf95f-727c-4237-8089-5cba5865bd08,0.44149768,0.40736583
01ab402f-2398-4a55-8884-046631469884,0.8342716,0.62743884
01abb5d3-6164-48a4-ad16-879d2b0af3cb,0.9277345,0.53993416
01ad9514-e915-4581-960e-66c63a7c5aed,0.83560723,0.658548
01ae6841-12b6-42e3-b177-896f21b25f1e,0.6371488,0.5021128
01ae68ae-d447-4d29-92d1-9b48347fa37a,0.94286084,0.53209627
01b053a3-63c3-48ce-92b9-ab813c74b538,0.57745457,0.44334894
01b05c97-2c71-46fd-b740-1783b8c0035e,0.89070314,0.5572279
01b1824b-35ff-4174-8208-8261d3ddb9ed,0.71164876,0.8122998
01b2dff8-c84f-407d-b29d-98cd903c965b,0.7907689,0.7033676
01b38b8f-7f45-4dbd-a9a8-6684e06ba904,0.23185647,0.24529056
01b3b80b-ce9f-4e8d-8137-fa85d191a880,0.4226773,0.42097574
